Tweet;Language;Sentiment
break news austriahungari go play countri world cup;en;0
new careerhigh kodai naraoka new world number six next week comeback win today may;en;1
break news austriahungari go play countri world cup;en;0
terribl world cup;en;0
india face england tomorrow hockey world cup india start solid win spain time;en;1
terribl world cup;en;0
india face england tomorrow hockey world cup india start solid win spain time;en;1
secur spot fifa world cup regist receiv offici news relat ticket sale;en;0
hockey world cup sam hiha brace help new zealand beat debut chile;en;0
secur spot fifa world cup regist receiv offici news relat ticket sale;en;0
hockey world cup sam hiha brace help new zealand beat debut chile;en;0
world cup wow thrive seem new mean;en;1
wanna keep see belgian stinker kmt he sinc howler world cup;en;0
world cup wow thrive seem new mean;en;1
wanna keep see belgian stinker kmt he sinc howler world cup;en;0
come lisandro hasnt start extend world cup break someth els;en;0
fifa open proceed argentina follow event world cup final violat articl;en;0
come lisandro hasnt start extend world cup break someth els;en;0
fifa open proceed argentina follow event world cup final violat articl;en;0
honour ambassador firstev women world cup wonder interact;en;1
time odi world cup rohit sharma sachin tendulkar ricki pont vivian richard villier dhoni lanc klusen wasim akram mitchel starc muttiah muralitharan glenn mcgrath quoterepli;en;0
honour ambassador firstev women world cup wonder interact;en;1
time odi world cup rohit sharma sachin tendulkar ricki pont vivian richard villier dhoni lanc klusen wasim akram mitchel starc muttiah muralitharan glenn mcgrath quoterepli;en;0
selector want focu odi world cup test championship tournament might seen squad;en;0
exactli pay money whatev want like stand cluelessli fifa world cup ceremoni one know;en;0
selector want focu odi world cup test championship tournament might seen squad;en;0
exactli pay money whatev want like stand cluelessli fifa world cup ceremoni one know;en;0
super junior choi siwon mention jungkook interview bt jungkook charg celebratori performanc;en;1
sold piec sold avax congrat buyer world cup;en;1
super junior choi siwon mention jungkook interview bt jungkook charg celebratori performanc;en;1
sold piec sold avax congrat buyer world cup;en;1
chanc win lotteri euro lotteri nation world cup tha georgia basket sign neve;en;1
join wctc world cup trade competit season time novemb utc join;en;0
chanc win lotteri euro lotteri nation world cup tha georgia basket sign neve;en;1
join wctc world cup trade competit season time novemb utc join;en;0
malaysia acquiesc loss netherland open game group fih odisha hockey;en;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
malaysia acquiesc loss netherland open game group fih odisha hockey;en;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
super junior choi siwon mention jungkook interview bt jungkook charg celebratori performanc;en;1
hed alreadi world cup muppet;en;1
super junior choi siwon mention jungkook interview bt jungkook charg celebratori performanc;en;1
hed alreadi world cup muppet;en;1
gautam gambhir recal world cup final incid;en;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
gautam gambhir recal world cup final incid;en;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
good luck team upcom women world cup;en;1
amaz win bangladesh australia first match world cup tournament could upend expec;en;1
good luck team upcom women world cup;en;1
amaz win bangladesh australia first match world cup tournament could upend expec;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
world cup tax peopl think pogba better kdb year casual;en;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
world cup tax peopl think pogba better kdb year casual;en;0
let see odi world cup;en;0
recent pak world cup semi finalist ind group stage exit pak asia cup finalist ind group stage exit pak world cup finalist india face humili defeat semi final;en;0
let see odi world cup;en;0
recent pak world cup semi finalist ind group stage exit pak asia cup finalist ind group stage exit pak world cup finalist india face humili defeat semi final;en;0
fifa open proceed argentina follow event world cup final violat articl;en;0
nft seem still support industri despit collaps ftx also disney red bull world;en;1
fifa open proceed argentina follow event world cup final violat articl;en;0
nft seem still support industri despit collaps ftx also disney red bull world;en;1
ten hag bench martinez luke shaw biggest disrespect footbal bench world cup winner smh;en;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
ten hag bench martinez luke shaw biggest disrespect footbal bench world cup winner smh;en;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
pep talk offici secur guard fifa world cup;en;0
still back babar azam remain captain side world cup year;en;0
pep talk offici secur guard fifa world cup;en;0
still back babar azam remain captain side world cup year;en;0
right point put big name bcz year odi world cup that focus odi format year;en;0
one time sanju drop odi squad slect near odi world cup odi squad drop;en;0
right point put big name bcz year odi world cup that focus odi format year;en;0
one time sanju drop odi squad slect near odi world cup odi squad drop;en;0
vidio world cup qatar plan mobil share user privat plan devic share user privat durasi hari akun store limit screen devic testi;en;1
vegetarian footbal world cup final finish two goal apiec extra time took fennel tea shootout;en;0
vidio world cup qatar plan mobil share user privat plan devic share user privat durasi hari akun store limit screen devic testi;en;1
vegetarian footbal world cup final finish two goal apiec extra time took fennel tea shootout;en;0
new careerhigh kodai naraoka new world number six next week comeback win today may;en;1
huobi discord turn join contest world cup ticket amp share usdt end oct;en;0
new careerhigh kodai naraoka new world number six next week comeback win today may;en;1
huobi discord turn join contest world cup ticket amp share usdt end oct;en;0
piti india still host hockey world cup belgian player surpris statement hockey news;en;0
goncalo ramo score hattrick portug switzerland ongo world cup record;en;0
piti india still host hockey world cup belgian player surpris statement hockey news;en;0
goncalo ramo score hattrick portug switzerland ongo world cup record;en;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
peopl time tune inaugur stream live start saturd;en;0
btw among win match semi final world cup asia cup final world cup final;en;1
peopl time tune inaugur stream live start saturd;en;0
btw among win match semi final world cup asia cup final world cup final;en;1
final word penalti incid last night someth definit chang world cup break term;en;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
final word penalti incid last night someth definit chang world cup break term;en;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
super junior choi siwon mention jungkook interview bt jungkook charg celebratori performanc;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
super junior choi siwon mention jungkook interview bt jungkook charg celebratori performanc;en;1
lisandro sinc he back world cup tbh;en;0
great doubt there ronaldo he world cup winner brazil;en;1
lisandro sinc he back world cup tbh;en;0
great doubt there ronaldo he world cup winner brazil;en;1
honour ambassador firstev women world cup wonder interact;en;1
qualifi triniti river cup seri race texa world daniel bouchard current sit;en;0
honour ambassador firstev women world cup wonder interact;en;1
qualifi triniti river cup seri race texa world daniel bouchard current sit;en;0
doubt messi amp world cup doubt ronaldo amp join camel leagu never ever doubl goat ronaldond;en;0
manchest unit lineup win world cup carabao cup back back;en;1
doubt messi amp world cup doubt ronaldo amp join camel leagu never ever doubl goat ronaldond;en;0
manchest unit lineup win world cup carabao cup back back;en;1
malaysia put slightli improv perform still fell defeat netherland open pool match fih odisha hockey men world cup rourkela india today fih world sport pic;en;0
honour ambassador firstev women world cup wonder interact;en;1
malaysia put slightli improv perform still fell defeat netherland open pool match fih odisha hockey men world cup rourkela india today fih world sport pic;en;0
honour ambassador firstev women world cup wonder interact;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
fifa nomine announc richarlison among name prestigi awa;en;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
fifa nomine announc richarlison among name prestigi awa;en;0
anoth event day await stack fierc lineup player incred talent team around;en;1
lost world cup final lost copa america final lost copa america final lost copa america semifin;en;0
anoth event day await stack fierc lineup player incred talent team around;en;1
lost world cup final lost copa america final lost copa america final lost copa america semifin;en;0
show begun congratul team india win match men fih hockey world cup wit;en;1
lose anoth world cup final would broken messi thank god;en;0
show begun congratul team india win match men fih hockey world cup wit;en;1
lose anoth world cup final would broken messi thank god;en;0
special simon louren game india world cup;en;0
world cup european club footbal back everyon feel winter world cup;en;0
special simon louren game india world cup;en;0
world cup european club footbal back everyon feel winter world cup;en;0
romero untouch centerback along otamendi world cup;en;1
south korea kb news today kpop star remind michael jackson presenc world cup;en;0
romero untouch centerback along otamendi world cup;en;1
south korea kb news today kpop star remind michael jackson presenc world cup;en;0
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
brilliant start hockey world cup men blue india beat spain mani congratul;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
brilliant start hockey world cup men blue india beat spain mani congratul;en;1
honour ambassador firstev women world cup wonder interact;en;1
hale liter world cup brilliant;en;1
honour ambassador firstev women world cup wonder interact;en;1
hale liter world cup brilliant;en;1
hey world cup goat join okx footbal cup mint team nft win prize get start;en;1
messi win argentina first world cup sinc napoli top seri ten point diego maradona would;en;1
